1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
,,,,,,,View Your Core Investment Calculation, View Your Per Student Investment Calculation , View Your Additional Investment Calculation ,,,View Your Regionalization Factor,,,,View Your Local Capacity Target Calculation,,,,,,,,,,,,,,,,Additional Calculations for Tier 2 & 3 Step 2 ,,,,,,,,,,,,,,,,,
,,,,,,,Stage 1: Determining Base Adequacy Level,,,,,,,,,Stage 2: Determining Percent of Adequacy,,,,,Determining Distribution Tier,,,,,Stage 3: Determining Tier Funding,,,,,,,,,,,,,Calculating Total State Contribution ,,,,,,,,,,
District ID,District Name,County,Organization Type,,Total ASE,, Core Investment Cost ," Per Student Investment Cost
(Subject to CWI) ", Additional Investments Cost ," Per Student Investment Cost
(Not Subject to CWI) ", Adequacy Target ,"Regionalization Factor
(CWI)"," Final Adequacy Target
(Adjusted for Regionalization Factor) "," Final Adequacy Target Per Student
(Adjusted for Regionalization Factor) ",,Adjusted Local Capacity Target,Adjusted Base Funding Minimum,Final Resources,Final Percent of Adequacy,,Adequacy Funding Gap,Final Adequacy Level ,Tier Assignment,Flag Tier 1,,Tier 1 Funding Gap,Tier 1 Funding,Tier 2 Funding Gap,"Tier 2 Funding
Step 1","Tier 2 Funding
Step 2","Tier 2 Funding 
Step 3",Tier 1 Per Student,Original Tier 2 Per Student,Final Tier 2 Per Student,Tier 3 Per Student,Tier 4 Per Student, Tier 3 Funding , Tier 4 Funding ," Calculated New FY 23 Funding
(Tier Funding)",FY 23 Tier Funding Per Pupil,Gross Base Funding Minimum,Total Gross FY 23 State Contribution,FY 22 EBF Adjustments,Total NET FY 23 State Contribution,,Rep No.,Senator No.,,Per Pupil Gap to Full Funding
0100906402600,VIRGINIA C U SCH DIST 64,CASS,Unit,,  298.37 ,,"  1,795,616.69 ","  269,777.20 ","  478,177.10 ","  1,528,303.23 ","  4,071,874.22 ",0.9,"  3,817,517.11 ","  12,794.57 ",,"  1,927,066.28 ","  716,161.67 ","  2,796,495.54 ",73.3%,,"  1,021,021.57 ",73%,2,0,,  -   ,  -   ,"  344,246.82 ","  21,629.58 ","  21,629.58 ",  -   , $ -   , $ 72.49 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  753,987.89 ","  753,987.89 ",,"  753,987.89 ",,93,47,,3422
0100926202600,A C CENTRAL CUSD 262,CASS,Unit,,  359.79 ,,"  2,200,286.93 ","  325,311.32 ","  602,650.12 ","  1,883,769.47 ","  5,012,017.84 ",0.9,"  4,699,192.99 ","  13,060.93 ",,"  2,738,013.93 ","  1,327,866.93 ","  4,178,558.80 ",88.9%,,"  520,634.19 ",89%,2,0,,  -   ,  -   ,"  23,349.14 ","  1,467.06 ","  10,928.17 ",  -   , $ -   , $ 4.08 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  1,343,965.04 ","  1,343,965.04 ",,"  1,343,965.04 ",,93,47,,1447
0106900102600,FRANKLIN C U SCHOOL DISTRICT 1,MORGAN,Unit,,  276.79 ,,"  1,660,732.48 ","  250,265.21 ","  435,876.59 ","  1,347,422.57 ","  3,694,296.85 ",0.9,"  3,459,609.41 ","  12,499.04 ",,"  2,551,050.91 ","  504,266.00 ","  3,202,489.01 ",92.6%,,"  257,120.40 ",93%,3,0,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , $ -   , $ -   , $ -   , $ 20.48 , $ -   ,"  5,669.63 ",  -    ,"  5,669.63 ",  20.48 ,"  513,619.36 ","  519,288.99 ",,"  519,288.99 ",,100,50,,929
0106900602600,WAVERLY C U SCHOOL DIST 6,MORGAN,Unit,,  339.22 ,,"  2,061,067.18 ","  306,712.54 ","  580,367.93 ","  1,769,170.65 ","  4,717,318.30 ",0.9,"  4,422,503.53 ","  13,037.27 ",,"  2,348,208.73 ","  961,067.83 ","  3,584,796.24 ",81.1%,,"  837,707.29 ",81%,2,0,,  -   ,  -   ,"  189,898.42 ","  11,931.62 ","  11,931.62 ",  -   , $ -   , $ 35.17 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  988,505.09 ","  988,505.09 ",,"  988,505.09 ",,100,50,,2470
0106901102600,MEREDOSIA-CHAMBERSBURG CUSD 11,MORGAN,Unit,,  175.50 ,,"  1,103,750.30 ","  158,681.83 ","  400,385.41 ","  896,815.97 ","  2,559,633.51 ",0.9,"  2,393,351.75 ","  13,637.33 ",,"  1,127,125.02 ","  343,126.41 ","  3,048,878.67 ",127.4%,,"  (655,526.92)",127%,4,0,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , $ -   , $ -   , $ -   , $ -   , $ 1.05 ,  -    ,  184.17 ,  184.16 ,  1.04 ,"  343,126.41 ","  343,310.57 ",,"  343,310.57 ",,100,50,,-3735
0106902702600,TRIOPIA C U SCHOOL DISTRICT 27,MORGAN,Unit,,  363.96 ,,"  2,152,170.89 ","  329,081.71 ","  502,056.38 ","  1,842,503.20 ","  4,825,812.18 ",0.9,"  4,527,481.28 ","  12,439.50 ",,"  2,352,635.06 ","  1,030,761.09 ","  3,565,345.03 ",78.7%,,"  962,136.25 ",79%,2,0,,  -   ,  -   ,"  250,415.20 ","  15,733.99 ","  15,733.99 ",  -   , $ -   , $ 43.23 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  1,044,979.17 ","  1,044,979.17 ",,"  1,044,979.17 ",,100,50,,2644
0106911702200,JACKSONVILLE SCHOOL DIST 117,MORGAN,Unit,,"  3,032.54 ",,"  19,053,283.06 ","  2,741,931.69 ","  6,520,695.41 ","  16,351,059.12 ","  44,666,969.28 ",0.9,"  41,835,378.26 ","  13,795.49 ",,"  17,734,135.15 ","  10,218,548.14 ","  31,319,039.02 ",74.9%,,"  10,516,339.24 ",75%,2,0,,  -   ,  -   ,"  3,833,244.70 ","  240,848.89 ","  240,848.89 ",  -   , $ -   , $ 79.42 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  10,986,033.85 ","  10,986,033.85 ",,"  10,986,033.85 ",,100,50,,3468
0107500302600,PLEASANT HILL C U SCH DIST 3,PIKE,Unit,,  311.50 ,,"  1,890,263.77 ","  281,648.95 ","  521,635.23 ","  1,617,683.02 ","  4,311,230.97 ",0.9,"  4,041,876.17 ","  12,975.52 ",,"  1,176,963.03 ","  1,137,720.52 ","  2,648,325.50 ",65.5%,,"  1,393,550.67 ",66%,1,1,,"  309,588.78 ","  92,876.63 ","  646,635.65 ","  40,629.15 ","  40,629.15 ",  -   , $ 298.16 , $ 130.43 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  92,876.63 ",  298.15 ,"  1,179,010.62 ","  1,271,887.25 ",,"  1,271,887.25 ",,100,50,,4474
0107500402600,GRIGGSVILLE-PERRY C U SCH DIST 4,PIKE,Unit,,  326.20 ,,"  2,005,424.10 ","  294,940.25 ","  629,213.73 ","  1,719,677.75 ","  4,649,255.83 ",0.9,"  4,356,298.01 ","  13,354.68 ",,"  1,820,061.30 ","  1,642,995.42 ","  3,636,533.61 ",83.5%,,"  719,764.40 ",83%,2,0,,  -   ,  -   ,"  165,423.16 ","  10,393.80 ","  10,393.80 ",  -   , $ -   , $ 31.86 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  1,683,261.02 ","  1,683,261.02 ",,"  1,683,261.02 ",,100,50,,2207
0107501002600,PIKELAND C U SCH DIST 10,PIKE,Unit,,"  1,095.04 ",,"  6,770,082.49 ","  990,102.31 ","  2,146,684.49 ","  5,809,333.85 ","  15,716,203.14 ",0.9,"  14,725,516.21 ","  13,447.46 ",,"  4,962,498.96 ","  5,434,984.69 ","  10,752,872.99 ",73.0%,,"  3,972,643.22 ",73%,1,1,,"  23,512.24 ","  7,053.67 ","  1,652,884.15 ","  103,853.35 ","  103,853.35 ",  -   , $ 6.44 , $ 94.84 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  7,053.67 ",  6.44 ,"  5,610,234.48 ","  5,617,288.15 ",,"  5,617,288.15 ",,100,50,,3628
