1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
,,,,,,,View Your Core Investment Calculation, View Your Per Student Investment Calculation , View Your Additional Investment Calculation ,,,View Your Regionalization Factor,,,,View Your Local Capacity Target Calculation,,,,,,,,,,,,,,,,Additional Calculations for Tier 2 & 3 Step 2 ,,,,,,,,,,,,,,,,,
,,,,,,,Stage 1: Determining Base Adequacy Level,,,,,,,,,Stage 2: Determining Percent of Adequacy,,,,,Determining Distribution Tier,,,,,Stage 3: Determining Tier Funding,,,,,,,,,,,,,Calculating Total State Contribution ,,,,,,,,,,
District ID,District Name,County,Organization Type,,Total ASE,, Core Investment Cost ," Per Student Investment Cost
(Subject to CWI) ", Additional Investments Cost ," Per Student Investment Cost
(Not Subject to CWI) ", Adequacy Target ,"Regionalization Factor
(CWI)"," Final Adequacy Target
(Adjusted for Regionalization Factor) "," Final Adequacy Target Per Student
(Adjusted for Regionalization Factor) ",,Adjusted Local Capacity Target,Adjusted Base Funding Minimum,Final Resources,Final Percent of Adequacy,,Adequacy Funding Gap,Final Adequacy Level ,Tier Assignment,Flag Tier 1,,Tier 1 Funding Gap,Tier 1 Funding,Tier 2 Funding Gap,"Tier 2 Funding
Step 1","Tier 2 Funding
Step 2","Tier 2 Funding 
Step 3",Tier 1 Per Student,Original Tier 2 Per Student,Final Tier 2 Per Student,Tier 3 Per Student,Tier 4 Per Student, Tier 3 Funding , Tier 4 Funding ," Calculated New FY 23 Funding
(Tier Funding)",FY 23 Tier Funding Per Pupil,Gross Base Funding Minimum,Total Gross FY 23 State Contribution,FY 22 EBF Adjustments,Total NET FY 23 State Contribution,,Rep No.,Senator No.,,Per Pupil Gap to Full Funding
0701615000200,SOUTH HOLLAND SCHOOL DIST 150,COOK,Elementary,,  924.05 ,,"  5,656,371.87 ","  835,498.28 ","  2,049,569.77 ","  4,789,498.91 ","  13,330,938.83 ",1.05731,"  13,820,448.75 ","  14,956.38 ",,"  5,890,565.61 ","  2,869,266.03 ","  9,110,375.13 ",65.9%,,"  4,710,073.62 ",66%,1,1,,"  1,003,666.21 ","  301,099.86 ","  1,954,487.98 ","  122,803.60 ","  122,803.60 ",  -   , $ 325.85 , $ 132.90 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  301,099.86 ",  325.84 ,"  3,124,923.11 ","  3,426,022.97 ",,"  3,426,022.97 ",,29,15,,5097
0701615100200,SOUTH HOLLAND SCHOOL DIST 151,COOK,Elementary,,"  1,531.88 ",,"  9,680,295.55 ","  1,385,079.93 ","  4,916,882.05 ","  8,475,079.20 ","  24,457,336.73 ",1.05731,"  25,373,279.90 ","  16,563.49 ",,"  5,958,027.46 ","  11,755,050.24 ","  18,356,170.95 ",72.3%,,"  7,017,108.95 ",72%,1,1,,"  212,430.30 ","  63,729.09 ","  3,603,939.93 ","  226,441.31 ","  226,441.31 ",  -   , $ 41.60 , $ 147.82 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  63,729.08 ",  41.60 ,"  12,651,833.71 ","  12,715,562.79 ",,"  12,715,562.79 ",,29,15,,4581
0701615200200,HARVEY SCHOOL DISTRICT 152,COOK,Elementary,,"  1,658.97 ",,"  10,807,779.12 ","  1,499,990.90 ","  5,929,951.39 ","  9,446,661.51 ","  27,684,382.92 ",1.05731,"  28,729,586.73 ","  17,317.72 ",,"  2,925,951.83 ","  18,085,196.39 ","  22,235,933.07 ",77.4%,,"  6,493,653.66 ",77%,2,0,,  -   ,  -   ,"  3,272,746.20 ","  205,631.88 ","  205,631.88 ",  -   , $ -   , $ 123.95 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  19,280,706.68 ","  19,280,706.68 ",,"  19,280,706.68 ",,30,15,,3914
0701615250200,HAZEL CREST SCHOOL DIST 152-5,COOK,Elementary,,  875.04 ,,"  5,622,945.74 ","  791,184.91 ","  2,483,949.95 ","  4,770,572.43 ","  13,668,653.03 ",1.05731,"  14,178,602.03 ","  16,203.37 ",,"  2,833,406.92 ","  7,671,440.63 ","  10,853,313.22 ",76.5%,,"  3,325,288.81 ",77%,2,0,,  -   ,  -   ,"  1,611,395.69 ","  101,246.57 ","  101,246.57 ",  -   , $ -   , $ 115.71 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  8,234,686.81 ","  8,234,686.81 ",,"  8,234,686.81 ",,30,15,,3800
0701615300200,HOMEWOOD SCHOOL DISTRICT 153,COOK,Elementary,,"  1,909.96 ",,"  11,057,120.04 ","  1,726,928.53 ","  2,991,056.00 ","  9,337,825.33 ","  25,112,929.90 ",1.05731,"  26,017,001.14 ","  13,621.75 ",,"  9,189,613.56 ","  7,241,222.91 ","  16,908,692.04 ",65.0%,,"  9,108,309.10 ",65%,1,1,,"  2,130,995.45 ","  639,298.63 ","  4,215,662.49 ","  264,876.81 ","  264,876.81 ",  -   , $ 334.72 , $ 138.68 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  639,298.63 ",  334.71 ,"  7,381,100.50 ","  8,020,399.13 ",,"  8,020,399.13 ",,29,15,,4769
0701615400200,THORNTON SCHOOL DISTRICT 154,COOK,Elementary,,  239.50 ,,"  1,461,186.15 ","  216,548.71 ","  621,659.02 ","  1,264,252.29 ","  3,563,646.17 ",1.05731,"  3,695,424.43 ","  15,429.74 ",,"  1,725,094.23 ","  457,351.79 ","  2,377,814.07 ",64.3%,,"  1,317,610.36 ",64%,1,1,,"  326,560.88 ","  97,968.27 ","  531,652.32 ","  33,404.57 ","  33,404.57 ",  -   , $ 409.05 , $ 139.48 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  97,968.26 ",  409.05 ,"  500,855.02 ","  598,823.28 ",,"  598,823.28 ",,29,15,,5502
0701615450200,BURNHAM SCHOOL DISTRICT 154-5,COOK,Elementary,,  172.38 ,,"  1,092,747.36 ","  155,860.82 ","  597,856.41 ","  967,430.46 ","  2,813,895.05 ",1.05731,"  2,919,715.93 ","  16,937.67 ",,"  414,233.00 ","  1,533,543.98 ","  2,063,352.26 ",70.7%,,"  856,363.67 ",71%,1,1,,"  73,345.92 ","  22,003.77 ","  472,420.21 ","  29,682.92 ","  29,682.92 ",  -   , $ 127.65 , $ 172.19 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  22,003.77 ",  127.64 ,"  1,624,511.34 ","  1,646,515.11 ",,"  1,646,515.11 ",,33,17,,4968
0701615500200,CALUMET CITY SCHOOL DISTRICT 155,COOK,Elementary,,  984.29 ,,"  6,326,150.19 ","  889,965.48 ","  3,312,658.52 ","  5,519,893.58 ","  16,048,667.77 ",1.05731,"  16,652,071.82 ","  16,917.85 ",,"  2,392,671.61 ","  9,342,809.96 ","  12,093,998.19 ",72.6%,,"  4,558,073.63 ",73%,1,1,,"  92,273.46 ","  27,682.04 ","  2,503,025.10 ","  157,269.07 ","  157,269.07 ",  -   , $ 28.12 , $ 159.78 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  27,682.03 ",  28.12 ,"  10,200,891.38 ","  10,228,573.41 ",,"  10,228,573.41 ",,34,17,,4631
0701615600200,LINCOLN ELEM SCHOOL DIST 156,COOK,Elementary,,  835.56 ,,"  5,264,203.34 ","  755,488.28 ","  2,611,538.55 ","  4,594,893.23 ","  13,226,123.40 ",1.05731,"  13,720,779.20 ","  16,421.05 ",,"  1,198,975.60 ","  8,471,566.05 ","  9,830,864.72 ",71.6%,,"  3,889,914.48 ",72%,1,1,,"  210,236.74 ","  63,071.02 ","  2,255,193.10 ","  141,697.39 ","  141,697.39 ",  -   , $ 75.48 , $ 169.58 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  63,071.02 ",  75.48 ,"  8,976,046.06 ","  9,039,117.08 ",,"  9,039,117.08 ",,33,17,,4655
0701615700200,HOOVER-SCHRUM MEMORIAL SD 157,COOK,Elementary,,  821.05 ,,"  5,185,758.19 ","  742,368.77 ","  2,469,926.62 ","  4,491,539.86 ","  12,889,593.44 ",1.05731,"  13,370,885.89 ","  16,285.10 ",,"  3,175,422.84 ","  5,944,070.68 ","  9,617,362.08 ",71.9%,,"  3,753,523.81 ",72%,1,1,,"  167,681.45 ","  50,304.44 ","  1,927,450.14 ","  121,104.77 ","  121,104.77 ",  -   , $ 61.27 , $ 147.50 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  50,304.43 ",  61.26 ,"  6,434,002.43 ","  6,484,306.86 ",,"  6,484,306.86 ",,34,17,,4572
0701615800200,LANSING SCHOOL DISTRICT 158,COOK,Elementary,,"  2,637.73 ",,"  16,161,100.88 ","  2,384,956.33 ","  6,142,210.25 ","  13,745,138.48 ","  38,433,405.94 ",1.05731,"  39,848,290.54 ","  15,107.03 ",,"  7,973,679.20 ","  19,332,535.17 ","  27,853,349.50 ",69.9%,,"  11,994,941.04 ",70%,1,1,,"  1,308,312.70 ","  392,493.81 ","  6,450,599.07 ","  405,301.45 ","  405,301.45 ",  -   , $ 148.80 , $ 153.66 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  392,493.81 ",  148.79 ,"  20,088,794.29 ","  20,481,288.10 ",,"  20,481,288.10 ",,33,17,,4547
0701615900200,ELEM SCHOOL DISTRICT 159,COOK,Elementary,,"  1,702.14 ",,"  10,328,933.46 ","  1,539,023.92 ","  3,733,539.23 ","  8,291,130.39 ","  23,892,627.00 ",1.05731,"  24,786,748.76 ","  14,562.10 ",,"  18,562,037.31 ","  5,850,392.53 ","  25,659,954.26 ",103.5%,,"  (873,205.50)",104%,4,0,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , $ -   , $ -   , $ -   , $ -   , $ 1.12 ,  -    ,"  1,907.31 ","  1,907.31 ",  1.12 ,"  6,198,666.43 ","  6,200,573.74 ",,"  6,200,573.74 ",,38,19,,-513
0701616000200,COUNTRY CLUB HILLS SCH DIST 160,COOK,Elementary,,"  1,308.11 ",,"  8,135,085.27 ","  1,182,753.81 ","  3,224,934.99 ","  6,910,117.56 ","  19,452,891.63 ",1.05731,"  20,171,718.01 ","  15,420.50 ",,"  3,594,861.48 ","  9,264,216.28 ","  12,979,335.97 ",64.3%,,"  7,192,382.04 ",64%,1,1,,"  1,782,673.11 ","  534,801.93 ","  3,951,307.67 ","  248,266.98 ","  248,266.98 ",  -   , $ 408.84 , $ 189.79 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  534,801.93 ",  408.83 ,"  9,899,805.84 ","  10,434,607.77 ",,"  10,434,607.77 ",,38,19,,5498
0701616100200,FLOSSMOOR SCHOOL DISTRICT 161,COOK,Elementary,,"  2,307.82 ",,"  13,394,213.15 ","  2,086,661.60 ","  3,839,109.18 ","  11,362,828.41 ","  30,682,812.34 ",1.05731,"  31,790,040.62 ","  13,774.92 ",,"  12,581,758.77 ","  10,153,643.81 ","  23,095,060.19 ",72.6%,,"  8,694,980.43 ",73%,1,1,,"  169,436.57 ","  50,830.97 ","  3,895,009.13 ","  244,729.65 ","  244,729.65 ",  -   , $ 22.03 , $ 106.04 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  50,830.96 ",  22.02 ,"  10,353,856.77 ","  10,404,687.73 ",,"  10,404,687.73 ",,80,40,,3768
0701616200200,MATTESON ELEM SCHOOL DIST 162,COOK,Elementary,,"  2,391.06 ",,"  14,604,235.27 ","  2,161,924.72 ","  5,222,072.32 ","  12,342,920.82 ","  34,331,153.13 ",1.05731,"  35,591,298.72 ","  14,885.15 ",,"  11,223,872.07 ","  15,571,218.26 ","  27,482,187.35 ",77.2%,,"  8,109,111.37 ",77%,2,0,,  -   ,  -   ,"  3,475,730.87 ","  218,385.73 ","  218,385.73 ",  -   , $ -   , $ 91.33 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  16,245,173.10 ","  16,245,173.10 ",,"  16,245,173.10 ",,38,19,,3391
0701616300200,PARK FOREST SCHOOL DIST 163,COOK,Elementary,,"  1,539.14 ",,"  9,694,324.24 ","  1,391,644.21 ","  4,105,413.72 ","  8,254,852.10 ","  23,446,234.27 ",1.05731,"  24,316,852.38 ","  15,798.98 ",,"  2,652,666.19 ","  15,579,702.23 ","  19,102,819.90 ",78.6%,,"  5,214,032.48 ",79%,2,0,,  -   ,  -   ,"  2,547,795.37 ","  160,082.06 ","  160,082.06 ",  -   , $ -   , $ 104.01 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  16,299,717.61 ","  16,299,717.61 ",,"  16,299,717.61 ",,80,40,,3388
0701616700200,BROOKWOOD SCHOOL DIST 167,COOK,Elementary,,"  1,103.54 ",,"  6,883,844.50 ","  997,787.76 ","  2,949,196.10 ","  5,898,897.25 ","  16,729,725.61 ",1.05731,"  17,350,440.38 ","  15,722.52 ",,"  4,136,162.65 ","  7,475,772.20 ","  12,216,372.33 ",70.4%,,"  5,134,068.05 ",70%,1,1,,"  480,977.41 ","  144,293.22 ","  2,622,662.07 ","  164,786.05 ","  164,786.05 ",  -   , $ 130.75 , $ 149.32 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  144,293.22 ",  130.75 ,"  8,004,055.76 ","  8,148,348.98 ",,"  8,148,348.98 ",,29,15,,4652
0701616800400,COMM CONS SCHOOL DIST 168,COOK,Elementary,,"  1,209.97 ",,"  7,847,280.25 ","  1,094,018.57 ","  3,727,214.82 ","  6,702,238.09 ","  19,370,751.73 ",1.05731,"  20,096,784.24 ","  16,609.32 ",,"  1,932,480.08 ","  12,497,125.20 ","  14,570,485.16 ",72.5%,,"  5,526,299.08 ",73%,1,1,,"  136,686.10 ","  41,005.83 ","  3,181,230.25 ","  199,881.78 ","  199,881.78 ",  -   , $ 33.89 , $ 165.20 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  41,005.82 ",  33.88 ,"  13,405,778.69 ","  13,446,784.51 ",,"  13,446,784.51 ",,33,17,,4567
0701616900200,FORD HEIGHTS SCHOOL DISTRICT 169,COOK,Elementary,,  389.50 ,,"  2,422,988.07 ","  352,174.21 ","  846,197.70 ","  2,020,471.63 ","  5,641,831.61 ",1.05731,"  5,849,371.74 ","  15,017.64 ",,"  1,150,906.48 ","  2,508,958.00 ","  6,079,089.64 ",103.9%,,"  (229,717.90)",104%,4,0,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , $ -   , $ -   , $ -   , $ -   , $ 1.16 ,  -    ,  450.10 ,  450.10 ,  1.15 ,"  2,537,573.90 ","  2,538,024.00 ",,"  2,538,024.00 ",,29,15,,-590
0701617000200,CHICAGO HEIGHTS SCHOOL DIST 170,COOK,Elementary,,"  2,705.39 ",,"  17,293,207.28 ","  2,446,132.47 ","  9,918,378.34 ","  15,379,602.42 ","  45,037,320.51 ",1.05731,"  46,737,004.33 ","  17,275.51 ",,"  6,512,689.46 ","  25,045,655.71 ","  33,952,305.79 ",72.6%,,"  12,784,698.54 ",73%,1,1,,"  250,635.27 ","  75,190.58 ","  7,050,617.52 ","  443,001.57 ","  443,001.57 ",  -   , $ 27.79 , $ 163.75 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  75,190.58 ",  27.79 ,"  27,263,397.61 ","  27,338,588.19 ",,"  27,338,588.19 ",,80,40,,4726
0701617100200,SUNNYBROOK SCHOOL DISTRICT 171,COOK,Elementary,,  989.06 ,,"  6,003,428.16 ","  894,278.38 ","  2,462,730.99 ","  5,188,246.74 ","  14,548,684.27 ",1.05731,"  15,085,130.94 ","  15,251.98 ",,"  3,703,200.77 ","  5,821,599.93 ","  9,683,118.56 ",64.2%,,"  5,402,012.38 ",64%,1,1,,"  1,356,438.89 ","  406,931.67 ","  2,791,346.04 ","  175,384.73 ","  175,384.73 ",  -   , $ 411.43 , $ 177.32 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  406,931.66 ",  411.43 ,"  6,247,728.76 ","  6,654,660.42 ",,"  6,654,660.42 ",,33,17,,5462
0701617200200,SANDRIDGE SCHOOL DISTRICT 172,COOK,Elementary,,  366.50 ,,"  2,306,204.17 ","  331,378.30 ","  1,029,250.85 ","  1,978,971.34 ","  5,645,804.66 ",1.05731,"  5,855,950.87 ","  15,978.03 ",,"  1,331,410.27 ","  2,328,445.44 ","  3,712,230.83 ",63.4%,,"  2,143,720.04 ",63%,1,1,,"  573,254.41 ","  171,976.32 ","  1,122,780.39 ","  70,546.09 ","  70,546.09 ",  -   , $ 469.24 , $ 192.49 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  171,976.32 ",  469.23 ,"  2,651,736.92 ","  2,823,713.24 ",,"  2,823,713.24 ",,33,17,,5849
0701619400200,STEGER SCHOOL DISTRICT 194,COOK,Elementary,,"  1,447.54 ",,"  8,932,323.38 ","  1,308,822.24 ","  3,614,423.44 ","  7,632,283.04 ","  21,487,852.10 ",1.05731,"  22,281,914.76 ","  15,392.95 ",,"  5,029,298.70 ","  8,397,011.92 ","  14,203,123.09 ",63.7%,,"  8,078,791.67 ",64%,1,1,,"  2,103,164.15 ","  630,949.24 ","  4,197,643.29 ","  263,744.64 ","  263,744.64 ",  -   , $ 435.88 , $ 182.20 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  630,949.24 ",  435.87 ,"  8,961,869.03 ","  9,592,818.27 ",,"  9,592,818.27 ",,29,15,,5581
0701620501700,THORNTON TWP H S DIST 205,COOK,High School,,"  4,874.32 ",,"  33,886,326.23 ","  4,407,213.91 ","  13,705,096.17 ","  30,357,775.15 ","  82,356,411.46 ",1.05731,"  85,336,453.30 ","  17,507.35 ",,"  20,296,864.26 ","  43,019,149.08 ","  70,311,797.85 ",82.4%,,"  15,024,655.45 ",82%,2,0,,  -   ,  -   ,"  5,540,077.14 ","  348,091.90 ","  348,091.90 ",  -   , $ -   , $ 71.41 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  45,889,370.77 ","  45,889,370.77 ",,"  45,889,370.77 ",,29,15,,3082
0701620601700,BLOOM TWP HIGH SCH DIST 206,COOK,High School,,"  2,920.00 ",,"  20,191,878.81 ","  2,640,176.40 ","  8,675,579.02 ","  18,291,686.51 ","  49,799,320.74 ",1.05731,"  51,605,023.25 ","  17,672.95 ",,"  10,342,932.04 ","  21,074,018.84 ","  37,143,510.17 ",72.0%,,"  14,461,513.08 ",72%,1,1,,"  621,930.59 ","  186,579.18 ","  7,749,089.73 ","  486,887.70 ","  486,887.70 ",  -   , $ 63.90 , $ 166.74 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  186,579.17 ",  63.89 ,"  23,149,937.86 ","  23,336,517.03 ",,"  23,336,517.03 ",,80,40,,4953
0701621001700,LEMONT TWP H S DIST 210,COOK,High School,,"  1,376.99 ",,"  8,590,258.10 ","  1,245,033.04 ","  1,595,725.43 ","  7,219,736.73 ","  18,650,753.30 ",1.05731,"  19,305,864.85 ","  14,020.33 ",,"  18,892,762.58 ","  879,302.85 ","  20,462,388.33 ",106.0%,,"  (1,156,523.48)",106%,4,0,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , $ -   , $ -   , $ -   , $ -   , $ 1.08 ,  -    ,"  1,485.57 ","  1,485.56 ",  1.07 ,"  886,367.79 ","  887,853.35 ",,"  887,853.35 ",,82,41,,-840
0701621501700,THORNTON FRACTIONAL T H S D 215,COOK,High School,,"  3,379.65 ",,"  22,751,691.45 ","  3,055,778.14 ","  7,671,219.45 ","  20,287,692.62 ","  53,766,381.66 ",1.05731,"  55,685,045.32 ","  16,476.57 ",,"  9,233,794.00 ","  28,340,679.01 ","  39,429,973.04 ",70.8%,,"  16,255,072.28 ",71%,1,1,,"  1,321,297.83 ","  396,389.35 ","  9,069,763.24 ","  569,867.73 ","  569,867.73 ",  -   , $ 117.29 , $ 168.62 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  396,389.34 ",  117.28 ,"  29,424,918.66 ","  29,821,308.00 ",,"  29,821,308.00 ",,34,17,,4810
0701621701600,ARGO COMM H S DIST 217,COOK,High School,,"  1,957.49 ",,"  13,322,417.26 ","  1,769,903.73 ","  5,357,527.05 ","  12,063,610.89 ","  32,513,458.93 ",1.05731,"  33,685,439.72 ","  17,208.48 ",,"  10,564,299.56 ","  11,561,535.70 ","  23,975,250.88 ",71.2%,,"  9,710,188.84 ",71%,1,1,,"  676,331.43 ","  202,899.43 ","  4,872,936.13 ","  306,174.37 ","  306,174.37 ",  -   , $ 103.65 , $ 156.41 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  202,899.42 ",  103.65 ,"  12,402,974.10 ","  12,605,873.52 ",,"  12,605,873.52 ",,21,11,,4961
0701621801600,COMMUNITY HIGH SCHOOL DIST 218,COOK,High School,,"  5,354.50 ",,"  35,775,888.44 ","  4,841,378.26 ","  12,533,636.36 ","  32,174,821.55 ","  85,325,724.61 ",1.05731,"  88,371,802.86 ","  16,504.21 ",,"  39,699,813.54 ","  22,626,952.70 ","  68,098,910.69 ",77.1%,,"  20,272,892.17 ",77%,2,0,,  -   ,  -   ,"  8,287,460.40 ","  520,714.39 ","  520,714.39 ",  -   , $ -   , $ 97.25 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  24,258,687.53 ","  24,258,687.53 ",,"  24,258,687.53 ",,36,18,,3786
0701622001700,REAVIS TWP H S DIST 220,COOK,High School,,"  1,996.50 ",,"  13,393,469.63 ","  1,805,175.40 ","  5,277,555.74 ","  12,191,332.52 ","  32,667,533.29 ",1.05731,"  33,841,024.35 ","  16,950.17 ",,"  14,071,106.89 ","  3,173,070.43 ","  23,072,257.67 ",68.2%,,"  10,768,766.68 ",68%,1,1,,"  1,693,184.14 ","  507,955.24 ","  4,817,134.66 ","  302,668.27 ","  302,668.27 ",  -   , $ 254.42 , $ 151.60 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  507,955.24 ",  254.42 ,"  3,685,122.99 ","  4,193,078.23 ",,"  4,193,078.23 ",,23,12,,5394
0701622701700,RICH TWP H S DISTRICT 227,COOK,High School,,"  3,267.82 ",,"  21,932,844.24 ","  2,954,664.80 ","  7,331,246.15 ","  19,571,411.23 ","  51,790,166.42 ",1.05731,"  53,636,623.27 ","  16,413.57 ",,"  17,372,302.73 ","  24,234,168.66 ","  44,081,495.95 ",82.2%,,"  9,555,127.32 ",82%,2,0,,  -   ,  -   ,"  3,436,582.15 ","  215,925.95 ","  215,925.95 ",  -   , $ -   , $ 66.08 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  25,157,490.79 ","  25,157,490.79 ",,"  25,157,490.79 ",,38,19,,2924
0701622801600,BREMEN COMM H S DISTRICT 228,COOK,High School,,"  5,133.50 ",,"  34,023,882.49 ","  4,641,556.69 ","  10,670,747.75 ","  30,367,746.80 ","  79,703,933.73 ",1.05731,"  82,531,390.60 ","  16,077.02 ",,"  17,102,115.43 ","  39,007,889.63 ","  57,501,278.78 ",69.7%,,"  25,030,111.82 ",70%,1,1,,"  2,896,607.83 ","  868,982.35 ","  13,637,920.18 ","  856,892.33 ","  856,892.33 ",  -   , $ 169.28 , $ 166.92 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  868,982.35 ",  169.27 ,"  40,030,203.59 ","  40,899,185.94 ",,"  40,899,185.94 ",,30,15,,4876
0701622901600,OAK LAWN COMM H S DIST 229,COOK,High School,,"  1,885.81 ",,"  12,528,492.28 ","  1,705,092.82 ","  4,224,356.01 ","  11,254,444.80 ","  29,712,385.91 ",1.05731,"  30,770,210.51 ","  16,316.70 ",,"  13,695,264.38 ","  5,861,900.87 ","  20,529,038.03 ",66.7%,,"  10,241,172.48 ",67%,1,1,,"  1,989,129.57 ","  596,738.87 ","  4,577,486.55 ","  287,610.80 ","  287,610.80 ",  -   , $ 316.44 , $ 152.51 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  596,738.86 ",  316.43 ,"  6,407,662.80 ","  7,004,401.66 ",,"  7,004,401.66 ",,36,18,,5431
0701623001300,CONS HIGH SCHOOL DISTRICT 230,COOK,High School,,"  7,737.00 ",,"  50,070,438.06 ","  6,995,563.29 ","  13,489,596.46 ","  44,645,250.77 ","  115,200,848.58 ",1.05731,"  119,244,389.88 ","  15,412.22 ",,"  85,215,309.71 ","  7,370,341.72 ","  94,617,928.04 ",79.3%,,"  24,626,461.84 ",79%,2,0,,  -   ,  -   ,"  6,315,445.76 ","  396,809.55 ","  396,809.55 ",  -   , $ -   , $ 51.29 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  7,859,926.60 ","  7,859,926.60 ",,"  7,859,926.60 ",,35,18,,3183
0701623101600,EVERGREEN PARK COMM HI SCH D 231,COOK,High School,,  938.00 ,,"  6,055,984.98 ","  848,111.46 ","  1,568,468.96 ","  5,120,767.63 ","  13,593,333.03 ",1.05731,"  14,078,895.75 ","  15,009.48 ",,"  7,687,888.82 ","  3,760,569.20 ","  12,251,028.90 ",87.0%,,"  1,827,866.85 ",87%,2,0,,  -   ,  -   ,"  292,514.17 ","  18,379.13 ","  28,490.57 ",  -   , $ -   , $ 19.59 , $ -   , $ -   , $ -   ,  -    ,  -    ,  -   ,  -   ,"  3,849,883.63 ","  3,849,883.63 ",,"  3,849,883.63 ",,36,18,,1949
0701623301600,HOMEWOOD FLOSSMOOR C H S D 233,COOK,High School,,"  2,818.15 ",,"  17,875,286.61 ","  2,548,086.68 ","  3,689,051.67 ","  15,792,662.39 ","  39,905,087.35 ",1.05731,"  41,286,970.42 ","  14,650.38 ",,"  10,456,432.80 ","  17,555,863.01 ","  28,973,218.37 ",70.2%,,"  12,313,752.05 ",70%,1,1,,"  1,241,294.43 ","  372,388.33 ","  6,634,516.54 ","  416,857.28 ","  416,857.28 ",  -   , $ 132.14 , $ 147.92 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  372,388.33 ",  132.13 ,"  17,696,683.97 ","  18,069,072.30 ",,"  18,069,072.30 ",,80,40,,4369
0800000000092,ALT SCH-CAROLL/JODAVIESS/STEPHENS,JO DAVIESS,Regional,,  47.99 ,,"  311,174.61 ","  43,391.11 ","  96,459.88 ","  280,861.70 ","  731,887.30 ",0.9,"  686,784.73 ","  14,310.99 ",,"  68,678.47 ","  364,818.22 ","  433,496.69 ",63.1%,,"  253,288.04 ",63%,1,1,,"  69,104.15 ","  20,731.25 ","  147,490.49 ","  9,267.06 ","  9,267.06 ",  -   , $ 431.99 , $ 193.10 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  20,731.24 ",  431.99 ,"  364,818.22 ","  385,549.46 ",,"  385,549.46 ",,89,45,,5278
0800000000093,SAFE SCH-CARROLL/JO DAVIESS/STEPH,JO DAVIESS,Regional,,  33.00 ,,"  205,358.06 ","  29,837.61 ","  60,375.38 ","  184,939.69 ","  480,510.74 ",0.9,"  450,953.63 ","  13,665.26 ",,"  45,095.36 ","  233,788.40 ","  278,883.76 ",61.8%,,"  172,069.87 ",62%,1,1,,"  51,131.84 ","  15,339.55 ","  100,471.46 ","  6,312.78 ","  6,312.78 ",  -   , $ 464.83 , $ 191.30 , $ -   , $ -   , $ -   ,  -    ,  -    ,"  15,339.55 ",  464.83 ,"  233,788.40 ","  249,127.95 ",,"  249,127.95 ",,89,45,,5214
